Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FGM,FGA,3PTM,FTM,FTA,PTS,OREB,DREB,AST,ST,BLK,TO
Joakim Noah,(N/A),"PF,C,Flx",527,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Lance Stephenson,(N/A),"SG,SF,Flx",528,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Abalde,(N/A),"SF,Flx",529,FA,FA,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Hanga,SA,"SG,Flx",530,FA,FA,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Jackson,ORL,"SF,PF,Flx",531,GSW,GSW,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Spalding,CHA,"PF,Flx",532,FA,FA,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Andrews,(N/A),"SF,PF,Flx",533,FA,FA,,0,0,1%,0.20%,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Gray,NO,"PG,Flx",534,FA,FA,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Devon Hall,(N/A),"SG,Flx",535,FA,FA,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonas Jerebko,(N/A),"SF,PF,Flx",536,FA,FA,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Walt Lemon Jr.,(N/A),"SF,Flx",537,FA,FA,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Sindarius Thornwell,(N/A),"SG,Flx",538,FA,FA,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Quincy Acy,PHO,"SF,PF,Flx",539,FA,FA,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
