Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FGM,FGA,3PTM,FTM,FTA,PTS,OREB,DREB,AST,ST,BLK,TO
Sasha Vujacic,(N/A),"SG,Flx",858,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Maalik Wayns,DAL,"PG,SG,Flx",859,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis Wear,LAL,"PF,Flx",860,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Okaro White,WAS,"PF,Flx",861,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Lindell Wigginton,(N/A),"PG,Flx",862,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Williams,(N/A),"PF,C,Flx",863,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Metta World Peace,(N/A),"SF,PF,Flx",864,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Rade Zagorac,(N/A),"SF,Flx",865,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronnie Aguilar,(N/A),"C,Flx",866,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Lance Allred,(N/A),"C,Flx",867,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
James Anderson,(N/A),"SG,SF,Flx",868,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Braian Angola-Rodas,(N/A),"SG,Flx",869,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Darion Atkins,(N/A),"PF,Flx",870,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Yudai Baba,(N/A),"SF,Flx",871,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ondrej Balvin,(N/A),"C,Flx",872,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Barnett,(N/A),"SF,Flx",873,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyus Battle,(N/A),"SG,Flx",874,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kavell Bigby-Williams,(N/A),"C,Flx",875,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Bennie Boatwright,(N/A),"PF,Flx",876,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Bonner,(N/A),"PF,C,Flx",877,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Booker,(N/A),"PF,C,Flx",878,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Booth,(N/A),"PG,Flx",879,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Boozer,(N/A),"PF,C,Flx",880,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Bosh,(N/A),"PF,C,Flx",881,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Brown,(N/A),"SF,Flx",882,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorenzo Brown,TOR,"PG,Flx",883,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Markel Brown,(N/A),"SG,Flx",884,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Deonte Burton,(N/A),"PG,Flx",885,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Calderon,(N/A),"PG,Flx",886,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Perrion Callandret,(N/A),"PG,Flx",887,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Camby,(N/A),"PF,C,Flx",888,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Cannady,(N/A),"PG,Flx",889,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Sampson Carter,(N/A),"PF,Flx",890,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tweety Carter,(N/A),"PG,Flx",891,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren Carter,(N/A),"SF,PF,Flx",892,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Casey,(N/A),"PF,Flx",893,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario Chalmers,(N/A),"PG,SG,Flx",894,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Chealey,(N/A),"PG,Flx",895,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Rakeem Christmas,(N/A),"PF,Flx",896,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Norris Cole,(N/A),"PG,SG,Flx",897,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Cooley,(N/A),"PF,C,Flx",898,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Copeland,(N/A),"SF,PF,Flx",899,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Costello,(N/A),"PF,Flx",900,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Cousin,(N/A),"C,Flx",901,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Crawford,(N/A),"PG,SG,Flx",902,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Cummings,(N/A),"PG,Flx",903,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
JamesOn Curry,(N/A),"PG,SG,Flx",904,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Olek Czyz,(N/A),"SF,Flx",905,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Samuel Dalembert,(N/A),"C,Flx",906,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Luigi Datome,(N/A),"SG,SF,Flx",907,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Baron Davis,(N/A),"PG,Flx",908,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Glen Davis,(N/A),"PF,C,Flx",909,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon Davis,(N/A),"PG,Flx",910,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Aubrey Dawkins,(N/A),"SG,Flx",911,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Shawn Dawson,(N/A),"SF,Flx",912,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Malcolm Delaney,(N/A),"PG,SG,Flx",913,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Dennis,(N/A),"PG,Flx",914,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Derrickson,(N/A),"PF,Flx",915,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Boris Diaw,(N/A),"PF,C,Flx",916,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ike Diogu,(N/A),"PF,C,Flx",917,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
DeSagana Diop,(N/A),"C,Flx",918,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Dixon,(N/A),"PG,SG,Flx",919,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Douglas-Roberts,(N/A),"SG,SF,Flx",920,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Milton Doyle,(N/A),"PG,Flx",921,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Dunleavy,(N/A),"SG,SF,Flx",922,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Edwards,(N/A),"SF,Flx",923,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
John Egbunu,(N/A),"C,Flx",924,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Eglseder,(N/A),"C,Flx",925,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Nnanna Egwu,(N/A),"C,Flx",926,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Moses Ehambe,(N/A),"SG,SF,Flx",927,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Monta Ellis,(N/A),"PG,SG,Flx",928,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Perry Ellis,(N/A),"PF,Flx",929,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Melvin Ely,(N/A),"PF,C,Flx",930,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Emmett,(N/A),"SG,Flx",931,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kim English,(N/A),"PG,SG,Flx",932,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Ennis,(N/A),"PG,Flx",933,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Micheal Eric,(N/A),"PF,C,Flx",934,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Evans,(N/A),"SF,PF,Flx",935,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Evans,(N/A),"SG,SF,Flx",936,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Evans,(N/A),"PF,C,Flx",937,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Ewing Jr.,(N/A),"SF,Flx",938,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Eyenga,(N/A),"SF,Flx",939,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrid Famous,(N/A),"PF,C,Flx",940,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Courtney Fells,(N/A),"SG,Flx",941,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Vashil Fernandez,(N/A),"C,Flx",942,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Fey,(N/A),"C,Flx",943,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Fields,(N/A),"SG,Flx",944,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Landry Fields,(N/A),"SG,SF,Flx",945,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Skyler Flatten,(N/A),"SG,Flx",946,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Fogg,(N/A),"PG,SG,Flx",947,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Quincy Ford,(N/A),"SF,Flx",948,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Randy Foye,(N/A),"PG,SG,Flx",949,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmer Fredette,(N/A),"PG,SG,Flx",950,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Freeland,(N/A),"PF,C,Flx",951,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Gabriel,(N/A),"SF,Flx",952,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdul Gaddy,(N/A),"PG,Flx",953,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakeenan Gant,(N/A),"SG,Flx",954,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Patricio Garino,(N/A),"SG,Flx",955,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Garnett,(N/A),"PF,C,Flx",956,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Gbinije,(N/A),"SF,Flx",957,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Alonzo Gee,DEN,"SG,SF,Flx",958,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Georges-Hunt,BOS,"SG,Flx",959,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Gibson,(N/A),"PG,SG,Flx",960,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
James Gist,SA,"SF,PF,Flx",961,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Gooden,WAS,"PF,C,Flx",962,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Vernon Goodridge,(N/A),"PF,Flx",963,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Archie Goodwin,POR,"PG,SG,Flx",964,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Granger,(N/A),"SF,Flx",965,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Donte Grantham,(N/A),"SG,Flx",966,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Hassani Gravett,(N/A),"PG,Flx",967,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Rob Gray,HOU,"PG,Flx",968,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Taj Gray,(N/A),"SF,PF,Flx",969,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Erick Green,UTA,"PG,SG,Flx",970,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Willie Green,(N/A),"SG,Flx",971,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Griffin,UTA,"SF,Flx",972,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorge Gutierrez,(N/A),"PG,Flx",973,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaac Haas,(N/A),"C,Flx",974,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Haislip,SA,"PF,Flx",975,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Donta Hall,(N/A),"SF,Flx",976,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Hall,WAS,"SF,PF,Flx",977,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaac Hamilton,CLE,"SG,Flx",978,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny Hamilton,DET,"C,Flx",979,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Hamilton,(N/A),"PF,C,Flx",980,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Hammons,MIA,"C,Flx",981,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Hansbrough,(N/A),"PF,C,Flx",982,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Anfernee Hardaway,MIA,"PG,SG,SF,PF,Flx",983,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Demonte Harper,(N/A),"PG,SG,Flx",984,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Elias Harris,LAL,"SF,PF,Flx",985,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Harrison,(N/A),"PG,Flx",986,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Hart,MIN,"PG,Flx",987,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Spencer Hawes,(N/A),"PF,C,Flx",988,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigel Hayes,SAC,"PF,Flx",989,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Luther Head,SAC,"PG,SG,Flx",990,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Hearn,(N/A),"SG,Flx",991,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerald Henderson,PHI,"SG,SF,Flx",992,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Myke Henry,(N/A),"SF,Flx",993,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Hicks,(N/A),"PF,Flx",994,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Haywood Highsmith,(N/A),"SG,Flx",995,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmed Hill,(N/A),"SG,Flx",996,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Hill,(N/A),"PF,C,Flx",997,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Amir Hinton,(N/A),"PG,Flx",998,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
John Holland,CLE,"SG,Flx",999,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Aric Holman,(N/A),"PF,Flx",1000,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Holmes,(N/A),"PF,Flx",1001,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Daulton Hommes,(N/A),"SF,Flx",1002,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Honeycutt,HOU,"SF,Flx",1003,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotty Hopson,OKC,"SG,Flx",1004,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Howell,(N/A),"PF,Flx",1005,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaac Humphries,(N/A),"PF,Flx",1006,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kris Humphries,(N/A),"PF,C,Flx",1007,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
R.J. Hunter,(N/A),"SG,Flx",1008,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mile Ilic,NO,"C,Flx",1009,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Damien Inglis,NY,"SF,Flx",1010,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ike Iroegbu,(N/A),"SG,Flx",1011,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrett Jack,NO,"PG,SG,Flx",1012,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Jackson,(N/A),"PG,Flx",1013,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Damion James,WAS,"SF,Flx",1014,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominic James,(N/A),"PG,SG,Flx",1015,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Jefferson,(N/A),"PF,C,Flx",1016,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Jefferson,(N/A),"SG,SF,Flx",1017,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
John Jenkins,(N/A),"SG,SF,Flx",1018,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Jennings,MIL,"PG,Flx",1019,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Yi Jianlian,(N/A),"PF,C,Flx",1020,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
DerMarr Johnson,(N/A),"SG,SF,Flx",1021,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Johnson,CHI,"SF,Flx",1022,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Johnson,SA,"SG,Flx",1023,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Darius Johnson-Odom,MIN,"SG,Flx",1024,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominique Jones,DAL,"PG,SG,Flx",1025,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Perry Jones,(N/A),"SF,PF,Flx",1026,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrence Jones,HOU,"SF,PF,Flx",1027,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Myck Kabongo,SA,"PG,Flx",1028,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikola Kalinic,(N/A),"SF,Flx",1029,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Kaman,(N/A),"PF,C,Flx",1030,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Kapono,GS,"SG,SF,Flx",1031,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tre Kelley,(N/A),"PG,Flx",1032,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
D.J. Kennedy,(N/A),"SG,SF,Flx",1033,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Kilpatrick,(N/A),"PG,SG,Flx",1034,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrei Kirilenko,PHI,"SF,PF,Flx",1035,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Linas Kleiza,TOR,"SF,Flx",1036,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Koch,(N/A),"SG,SF,Flx",1037,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronson Koenig,(N/A),"SG,Flx",1038,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Yaroslav Korolev,LAC,"SF,PF,Flx",1039,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Christ Koumadje,(N/A),"C,Flx",1040,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
David Kramer,(N/A),"PG,Flx",1041,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Viacheslav Kravtsov,PHO,"C,Flx",1042,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mindaugas Kuzminskas,NY,"SF,PF,Flx",1043,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Michale Kyser,(N/A),"PF,Flx",1044,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Lacey,(N/A),"PG,Flx",1045,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Laprovittola,SA,"PG,Flx",1046,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Terry Larrier,(N/A),"PF,Flx",1047,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Joffrey Lauvergne,(N/A),"PF,C,Flx",1048,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ty Lawson,(N/A),"PG,Flx",1049,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Lee,MIA,"C,Flx",1050,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwight Lewis,(N/A),"SG,Flx",1051,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre Liggins,MIA,"SG,SF,Flx",1052,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Lofton,DET,"SG,Flx",1053,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Shawn Long,(N/A),"PF,C,Flx",1054,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Loyd,(N/A),"PG,Flx",1055,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Machado,LAL,"PG,SG,Flx",1056,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Matur Maker,(N/A),"C,Flx",1057,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Devyn Marble,(N/A),"SG,SF,Flx",1058,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Shawn Marion,(N/A),"SG,SF,Flx",1059,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Cartier Martin,(N/A),"SG,SF,Flx",1060,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenyon Martin,MIL,"PF,C,Flx",1061,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Mason Jr.,SAC,"SG,Flx",1062,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
