"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","FGM","FGA","3PTM","FTM","FTA","PTS","OREB","DREB","AST","ST","BLK","TO"
"Michalis Kamperidis","(N/A)","SF,Flx","618","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bobby Ray Parks Jr.","(N/A)","SG,G,Flx","619","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Malik Pope","(N/A)","SF,Flx","620","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nik Slavica","(N/A)","SF,Flx","621","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jarvis Threatt","(N/A)","PG,G,Flx","622","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Byron Wesley","(N/A)","SG,G,Flx","623","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Adams","(N/A)","SG,G,Flx","624","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Maurice Ager","(N/A)","SG,G,SF,Flx","625","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alexis Ajinca","(N/A)","PF,C,Flx","626","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Deji Akindele","(N/A)","C,Flx","627","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cliff Alexander","(N/A)","PF,Flx","628","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bryce Alford","(N/A)","PG,G,Flx","629","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tony Allen","(N/A)","SG,G,SF,Flx","630","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Louis Amundson","(N/A)","PF,Flx","631","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gilbert Arenas","(N/A)","PG,G,Flx","632","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hilton Armstrong","(N/A)","PF,C,Flx","633","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cyril Awere","(N/A)","C,Flx","634","FA","","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrea Bargnani","(N/A)","PF,C,Flx","635","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Esteban Batista","(N/A)","C,Flx","636","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mike Bibby","(N/A)","PG,G,Flx","637","FA","","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andris Biedrins","(N/A)","C,Flx","638","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyrell Biggs","(N/A)","SF,PF,Flx","639","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jabari Bird","(N/A)","SG,G,Flx","640","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marqus Blakely","(N/A)","SF,Flx","641","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Keljin Blevins","(N/A)","PG,G,Flx","642","FA","","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corey Brewer","(N/A)","SG,G,SF,Flx","643","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Barry Brown Jr.","(N/A)","PG,G,Flx","644","FA","","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Troy Caupain","(N/A)","SG,G,Flx","645","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Cavanaugh","(N/A)","PF,C,Flx","646","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bonzie Colson","(N/A)","SF,Flx","647","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaiah Cousins","(N/A)","SG,G,Flx","648","FA","","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luol Deng","(N/A)","SF,PF,Flx","649","FA","","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Raymond Felton","(N/A)","PG,SG,G,Flx","650","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Amir Johnson","(N/A)","PF,C,Flx","651","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jalen Jones","(N/A)","SG,G,SF,Flx","652","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sagaba Konate","(N/A)","SF,Flx","653","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dedric Lawson","(N/A)","SF,PF,Flx","654","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Loyd","(N/A)","PG,G,Flx","655","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luke Maye","(N/A)","PF,Flx","656","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Salah Mejri","(N/A)","C,Flx","657","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Miles Plumlee","(N/A)","PF,C,Flx","658","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Quincy Pondexter","(N/A)","SG,G,SF,Flx","659","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Sampson","(N/A)","PG,G,Flx","660","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simi Shittu","(N/A)","C,Flx","661","FA","","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Simon","(N/A)","SG,G,Flx","662","FA","","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaiah Taylor","(N/A)","PG,G,Flx","663","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lance Thomas","(N/A)","SG,G,SF,Flx","664","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Thomas Welsh","(N/A)","C,Flx","665","FA","","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alan Williams","(N/A)","PF,C,Flx","666","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C.J. Williams","(N/A)","SG,G,Flx","667","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kenny Wooten","(N/A)","PF,Flx","668","FA","","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Furkan Aldemir","PHI","PF,Flx","669","FA","@DET Mon 7:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Darrell Arthur","PHO","PF,C,Flx","670","FA","DEN Mon 9:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jamel Artis","SAC","SF,Flx","671","FA","HOU Mon 10:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cameron Bairstow","DET","PF,C,Flx","672","FA","PHI Mon 7:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ron Baker","WAS","PG,SG,G,Flx","673","FA","@NY Mon 7:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Renaldo Balkman","DAL","SF,PF,Flx","674","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jerrelle Benimon","UTA","PF,Flx","675","FA","@MIA Mon 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ben Bentil","DAL","SF,PF,Flx","676","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sim Bhullar","SAC","C,Flx","677","FA","HOU Mon 10:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joel Bolomboy","MIL","PF,Flx","678","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gian Clavell","DAL","PG,G,Flx","679","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Amir Coffey","LAC","SF,Flx","680","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Davis","OKC","C,Flx","681","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tiny Gallon","MIL","PF,Flx","682","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Olivier Hanlan","SA","PG,G,Flx","683","FA","@MEM Mon 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mike James","NO","PG,G,Flx","684","FA","@POR Mon 10:00PM","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brice Johnson","MEM","PF,Flx","685","FA","SA Mon 8:00PM","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luc Richard Mbah a Moute","LAC","SF,PF,Flx","686","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Billy Preston","CLE","SF,PF,Flx","687","FA","ATL Mon 7:00PM","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nikola Radicevic","DEN","PG,G,Flx","688","FA","@PHO Mon 9:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Xavier Rathan-Mayes","MEM","PG,G,Flx","689","FA","SA Mon 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Willie Reed","CHI","PF,C,Flx","690","FA","@ORL Mon 7:00PM","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cameron Reynolds","MIL","SF,Flx","691","FA","","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Malachi Richardson","PHI","SG,G,Flx","692","FA","@DET Mon 7:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jameel Warney","DAL","SF,Flx","693","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Julian Washburn","GS","SF,Flx","694","FA","MIN Mon 10:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jamil Wilson","LAC","PF,Flx","695","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Derrick Marks","(N/A)","SG,G,Flx","696","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeff Adrien","(N/A)","SF,PF,Flx","697","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Akognon","(N/A)","PG,SG,G,Flx","698","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DeVaughn Akoon-Purcell","(N/A)","PG,G,Flx","699","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joe Alexander","(N/A)","SF,Flx","700","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lavoy Allen","(N/A)","PF,C,Flx","701","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcus Allen","(N/A)","PG,G,Flx","702","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Allen","(N/A)","PG,SG,G,Flx","703","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alan Anderson","(N/A)","SG,G,SF,Flx","704","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jake Anderson","(N/A)","PG,G,Flx","705","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrew Andrews","(N/A)","PG,G,Flx","706","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joel Anthony","(N/A)","PF,C,Flx","707","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pero Antic","(N/A)","C,Flx","708","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Keith Appling","(N/A)","PG,G,Flx","709","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Ashley","(N/A)","PF,Flx","710","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Connor Atchley","(N/A)","PF,C,Flx","711","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chucky Atkins","(N/A)","PG,G,Flx","712","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eric Atkins","(N/A)","PG,G,Flx","713","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zach Auguste","(N/A)","PF,Flx","714","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"J.J. Avila","(N/A)","SF,Flx","715","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gustavo Ayon","(N/A)","PF,C,Flx","716","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeff Ayres","(N/A)","PF,C,Flx","717","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Bachynski","(N/A)","C,Flx","718","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gracin Bakumanya","(N/A)","C,Flx","719","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony Barber","(N/A)","PG,G,Flx","720","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leandro Barbosa","(N/A)","PG,SG,G,Flx","721","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kadeem Batts","(N/A)","PF,Flx","722","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"V.J. Beachem","(N/A)","SF,Flx","723","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony Bennett","(N/A)","SF,PF,Flx","724","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tarik Black","(N/A)","PF,C,Flx","725","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Blackmon Jr.","(N/A)","SG,G,Flx","726","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vander Blue","LAL","PG,G,Flx","727","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrew Bogut","(N/A)","C,Flx","728","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tim Bond","HOU","SG,G,Flx","729","FA","@SAC Mon 10:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trevor Booker","(N/A)","PF,C,Flx","730","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Bowen","OKC","SF,Flx","731","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ronnie Brewer","(N/A)","SG,G,SF,Flx","732","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Amida Brimah","(N/A)","C,Flx","733","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armoni Brooks","(N/A)","PG,G,Flx","734","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alec Brown","(N/A)","C,Flx","735","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bobby Brown","(N/A)","PG,SG,G,Flx","736","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bryce Brown","(N/A)","PG,G,Flx","737","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jabari Brown","MIL","SG,G,Flx","738","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shannon Brown","(N/A)","SG,G,Flx","739","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Brownlee","(N/A)","PF,Flx","740","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nicolas Brussino","(N/A)","SG,G,SF,Flx","741","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dwight Buycks","(N/A)","PG,G,Flx","742","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Cage","CHI","SF,PF,Flx","743","FA","@ORL Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nik Caner-Medley","SAC","SF,PF,Flx","744","FA","HOU Mon 10:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Derrick Caracter","LAL","PF,Flx","745","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Phillip Carr","NY","PF,Flx","746","FA","WAS Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeffrey Carroll","LAL","SG,G,Flx","747","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Carroll","NO","SG,G,SF,Flx","748","FA","@POR Mon 10:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brian Chase","MIA","PG,SG,G,Flx","749","FA","UTA Mon 7:30PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eric Chenowith","NO","C,Flx","750","FA","@POR Mon 10:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Will Cherry","GS","PG,G,Flx","751","FA","MIN Mon 10:30PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Patrick Christopher","UTA","SG,G,Flx","752","FA","@MIA Mon 7:30PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Coty Clarke","BOS","SF,Flx","753","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Victor Claver","DEN","SG,G,SF,Flx","754","FA","@PHO Mon 9:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Speedy Claxton","GS","PG,G,Flx","755","FA","MIN Mon 10:30PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Antonius Cleveland","DAL","SG,G,Flx","756","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyle Collinsworth","(N/A)","SG,G,Flx","757","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Will Conroy","MIN","PG,SG,G,Flx","758","FA","@GS Mon 10:30PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Elgin Cook","GS","SF,Flx","759","FA","MIN Mon 10:30PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Derek Cooke Jr.","PHO","PF,Flx","760","FA","DEN Mon 9:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Charles Cooke","MIA","SG,G,Flx","761","FA","UTA Mon 7:30PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bryce Cotton","MEM","PG,G,Flx","762","FA","SA Mon 8:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jaleel Cousins","GS","C,Flx","763","FA","MIN Mon 10:30PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aaron Craft","GS","PG,G,Flx","764","FA","MIN Mon 10:30PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Crawford","MEM","SG,G,Flx","765","FA","SA Mon 8:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Drew Crawford","TOR","SG,G,Flx","766","FA","@IND Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mitch Creek","(N/A)","SG,G,Flx","767","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jared Cunningham","MIL","PG,SG,G,Flx","768","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eddy Curry","DAL","C,Flx","769","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Davies","BKN","PF,Flx","770","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Davis","MEM","PF,Flx","771","FA","SA Mon 8:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Paul Davis","WAS","PF,C,Flx","772","FA","@NY Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ricky Davis","LAC","SG,G,SF,Flx","773","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andre Dawkins","BOS","SG,G,Flx","774","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Branden Dawson","ORL","SF,PF,Flx","775","FA","CHI Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Willie Deane","WAS","PG,SG,G,Flx","776","FA","@NY Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bryce Dejean-Jones","NO","PG,SG,G,Flx","777","FA","@POR Mon 10:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carlos Delfino","LAC","SG,G,SF,Flx","778","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Dentmon","DAL","PG,G,Flx","779","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guillermo Diaz","LAC","PG,SG,G,Flx","780","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daniel Dixon","BOS","SG,G,Flx","781","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joey Dorsey","DEN","PF,C,Flx","782","FA","@PHO Mon 9:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Quincy Douby","TOR","PG,SG,G,Flx","783","FA","@IND Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Toney Douglas","MEM","PG,SG,G,Flx","784","FA","SA Mon 8:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcus Douthit","LAC","C,Flx","785","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Milton Doyle","(N/A)","PG,G,Flx","786","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Robert Dozier","MIA","SF,PF,Flx","787","FA","UTA Mon 7:30PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Larry Drew II","NO","PG,G,Flx","788","FA","@POR Mon 10:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Duhon","LAL","PG,G,Flx","789","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Duje Dukan","SAC","SF,Flx","790","FA","HOU Mon 10:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kellen Dunham","MEM","SG,G,Flx","791","FA","SA Mon 8:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ronald Dupree","MEM","SF,Flx","792","FA","SA Mon 8:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cleanthony Early","NY","SF,Flx","793","FA","WAS Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Devin Ebanks","DAL","SG,G,SF,Flx","794","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jarell Eddie","CHI","SG,G,Flx","795","FA","@ORL Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"John Edwards","MIN","C,Flx","796","FA","@GS Mon 10:30PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Melvin Ejim","ORL","SF,PF,Flx","797","FA","CHI Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Ellis","POR","SF,PF,Flx","798","FA","NO Mon 10:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Keenan Evans","DET","PG,G,Flx","799","FA","PHI Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Festus Ezeli","POR","C,Flx","800","FA","NO Mon 10:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C.J. Fair","CHI","PF,Flx","801","FA","@ORL Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Farmar","SAC","PG,G,Flx","802","FA","HOU Mon 10:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vitor Faverani","BOS","C,Flx","803","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carrick Felix","WAS","SG,G,SF,Flx","804","FA","@NY Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrylo Fesenko","MIN","C,Flx","805","FA","@GS Mon 10:30PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kimani Ffriend","LAC","C,Flx","806","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gerald Fitch","DET","PG,SG,G,Flx","807","FA","PHI Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gary Flowers","GS","SF,PF,Flx","808","FA","MIN Mon 10:30PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
