"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","FGM","FGA","3PTM","FTM","FTA","PTS","OREB","DREB","AST","ST","BLK","TO"
"Admiral Schofield","WAS","SF,Flx","357","HOU","@NY Mon 7:00PM","120.5","8.03","11%","+1.8%","15","20","44","10","8","10","58","3","17","10","6","2","5"
"Ty Jerome","PHO","PG,G,Flx","358","TOR","DEN Mon 9:00PM","120","13.33","15%","-1.2%","9","16","47","6","4","5","42","3","14","21","11","0","8"
"Chandler Hutchison","CHI","SG,G,SF,Flx","359","TOR","@ORL Mon 7:00PM","118.5","13.17","9%","+0.7%","9","20","44","5","19","29","64","1","32","8","5","2","12"
"Gary Trent Jr.","POR","SG,G,Flx","360","HOU","NO Mon 10:00PM","118","6.94","6%","+0.7%","17","20","56","15","4","4","59","5","17","8","4","3","7"
"Javonte Green","BOS","PG,G,Flx","361","FA","","117.5","5.6","4%","+1.3%","21","26","48","3","4","7","59","4","24","7","4","3","6"
"Alfonzo McKinnie","CLE","PF,Flx","362","DEN","ATL Mon 7:00PM","117","6.5","10%","-0.7%","18","17","52","8","7","11","49","11","26","3","6","3","8"
"Justin James","SAC","SG,G,Flx","363","FA","HOU Mon 10:00PM","116.5","8.96","4%","+0.6%","13","23","55","6","2","9","54","3","20","11","4","7","6"
"Jakarr Sampson","IND","SG,G,SF,Flx","364","FA","TOR Mon 7:00PM","113.5","11.35","4%","0%","10","24","42","2","2","7","52","7","20","4","5","6","6"
"Jared Dudley","LAL","SF,PF,Flx","365","ATL","","111.5","5.31","3%","+1%","21","11","27","10","2","2","34","2","16","14","8","1","3"
"Luke Kornet","CHI","PF,C,Flx","366","GSW","@ORL Mon 7:00PM","103.5","7.39","6%","-0.3%","14","15","48","5","5","5","40","6","16","6","2","10","3"
"Michael Kidd-Gilchrist","CHA","SF,Flx","367","CHI","","100.5","10.05","7%","+1%","10","16","49","5","7","9","44","8","23","9","0","3","6"
"Patrick McCaw","TOR","SG,G,SF,Flx","368","FA","@IND Mon 7:00PM","98.5","12.31","10%","+4.5%","8","14","33","6","3","4","37","4","11","12","11","0","10"
"Matt Thomas","TOR","SG,G,Flx","369","FA","@IND Mon 7:00PM","94.5","7.88","5%","+0.7%","12","20","37","14","3","5","57","1","12","4","4","0","4"
"Isaiah Hartenstein","HOU","PF,Flx","370","DEN","@SAC Mon 10:00PM","91","10.11","7%","+0.5%","9","11","16","0","9","11","31","8","18","5","3","4","6"
"Tyrone Wallace","(N/A)","PG,SG,G,Flx","371","FA","","90.5","6.46","2%","-0.4%","14","14","44","1","11","17","40","3","19","13","7","1","10"
"Derrick Walton Jr.","LAC","PG,G,Flx","372","FA","","90.5","6.03","2%","+0.6%","15","11","22","6","6","7","34","2","8","17","4","0","3"
"Deandre Ayton","PHO","C,Flx","373","LAC","DEN Mon 9:00PM","86","43","99%","+0.3%","2","18","33","0","0","1","36","10","13","3","1","5","2"
"Rodions Kurucs","BKN","SF,PF,Flx","374","LAL","","86","6.14","16%","-1.1%","14","13","32","4","3","8","33","7","26","4","6","1","15"
"DeMarre Carroll","SA","SF,PF,Flx","375","FA","@MEM Mon 8:00PM","84.5","7.04","13%","-0.8%","12","8","27","3","11","18","30","7","22","10","2","2","9"
"Brandon Knight","CLE","PG,SG,G,Flx","376","CHI","ATL Mon 7:00PM","83.5","9.28","4%","+0.8%","9","15","43","11","3","8","44","1","7","16","4","0","7"
"Nicolas Claxton","BKN","C,Flx","377","MIN","","83","9.22","11%","-0.1%","9","11","21","0","5","12","27","8","14","11","1","5","6"
"Ante Zizic","CLE","C,Flx","378","CHI","ATL Mon 7:00PM","76.5","8.5","12%","-1.8%","9","16","29","0","5","6","37","7","16","0","2","2","1"
"Edmond Sumner","IND","PG,G,Flx","379","CHA","TOR Mon 7:00PM","75","10.71","6%","+0.8%","7","11","30","2","3","5","27","4","5","15","5","1","3"
"Deonte Burton","OKC","SF,Flx","380","FA","","75","5.36","2%","+0.1%","14","14","38","5","3","4","36","3","18","4","1","3","4"
"Jacob Evans III","GS","SG,G,Flx","381","TOR","MIN Mon 10:30PM","74","8.22","9%","+1%","9","13","43","6","10","10","42","2","8","9","2","4","8"
"Kelan Martin","MIN","SG,G,Flx","382","FA","@GS Mon 10:30PM","72.5","8.06","3%","-0.2%","9","15","44","5","0","0","35","2","24","3","1","1","4"
"Kevon Looney","GS","PF,C,Flx","383","NOP","MIN Mon 10:30PM","72","8","45%","-8.2%","9","9","30","1","3","5","22","14","14","3","3","2","6"
"Norvel Pelle","PHI","C,Flx","384","MIN","@DET Mon 7:00PM","67.5","11.25","6%","+0.9%","6","6","9","0","4","6","16","4","15","4","0","9","6"
"Guillermo Hernangomez","CHA","C,Flx","385","HOU","","65.5","5.95","11%","-2%","11","10","25","2","4","8","26","9","14","3","1","3","6"
"Wilson Chandler","BKN","SF,PF,Flx","386","FA","","59.5","14.88","11%","+4.5%","4","9","20","1","2","2","21","1","18","5","3","1","6"
"Malcolm Miller","TOR","PF,Flx","387","FA","@IND Mon 7:00PM","58","3.87","2%","+0.9%","15","6","17","5","1","6","18","1","13","6","4","2","3"
"Ryan Broekhoff","DAL","SF,Flx","388","FA","","57.5","7.19","2%","+1.3%","8","9","20","8","5","6","31","0","11","4","1","0","2"
"Zach Collins","POR","PF,C,Flx","389","PHX","NO Mon 10:00PM","56","18.67","47%","-1.1%","3","9","19","3","6","6","27","4","8","6","0","2","6"
"Dante Exum","UTA","PG,SG,G,Flx","390","CHI","@MIA Mon 7:30PM","50.5","4.59","9%","+0.2%","11","10","23","2","2","2","24","3","9","7","1","2","10"
"Vincent Poirier","BOS","C,Flx","391","FA","","50","5.56","4%","+0.5%","9","7","14","0","1","2","15","8","7","3","2","2","3"
"James Johnson","MIA","SF,PF,Flx","392","CHI","UTA Mon 7:30PM","49","8.17","12%","-1.5%","6","8","18","2","2","4","20","2","9","4","3","2","4"
"Chimezie Metu","SA","PF,Flx","393","ATL","@MEM Mon 8:00PM","49","6.12","3%","+0.7%","8","9","18","0","2","4","20","8","6","2","0","3","1"
"Courtney Lee","DAL","SG,G,SF,Flx","394","FA","","49","6.12","1%","-0.2%","8","13","22","7","0","0","33","0","3","3","0","2","2"
"Mfiondu Kabengele","LAC","C,Flx","395","SAC","","47.5","4.75","11%","+0.4%","10","10","22","6","3","3","29","1","7","1","1","1","1"
"Harry Giles","SAC","PF,C,Flx","396","MIL","HOU Mon 10:00PM","46.5","6.64","20%","-1%","7","11","25","0","2","2","24","3","4","5","2","3","5"
"Shake Milton","PHI","PG,G,Flx","397","DEN","@DET Mon 7:00PM","42.5","4.72","5%","+0.8%","9","12","35","4","7","9","35","1","7","7","1","0","12"
"Garrison Mathews","WAS","SG,G,Flx","398","FA","@NY Mon 7:00PM","41.5","5.93","1%","+0.4%","7","5","12","4","6","7","20","3","5","4","0","1","2"
"Anzejs Pasecniks","WAS","C,Flx","399","FA","@NY Mon 7:00PM","40.5","13.5","7%","+6.4%","3","7","16","0","6","8","20","6","8","3","0","0","3"
"Naz Mitrou-Long","IND","PG,G,Flx","400","FA","TOR Mon 7:00PM","37","12.33","1%","0%","3","6","16","2","0","0","14","0","6","7","1","1","2"
"Chandler Parsons","ATL","SF,PF,Flx","401","FA","@CLE Mon 7:00PM","35","8.75","2%","-0.1%","4","5","14","4","0","0","14","1","5","2","4","0","2"
"Wenyen Gabriel","SAC","PF,Flx","402","FA","HOU Mon 10:00PM","34.5","4.93","3%","+0.5%","7","5","16","1","5","9","16","4","4","3","2","2","3"
"Alize Johnson","IND","PF,Flx","403","FA","TOR Mon 7:00PM","33","3.67","3%","+0.8%","9","5","11","0","3","4","13","6","6","2","0","0","1"
"Drew Eubanks","SA","PF,Flx","404","FA","@MEM Mon 8:00PM","33","8.25","1%","+0.2%","4","5","10","0","1","1","11","5","8","2","0","1","4"
"Jordan McLaughlin","MIN","PG,G,Flx","405","FA","@GS Mon 10:30PM","32","8","1%","+0.9%","4","4","15","1","2","2","11","1","6","8","1","0","4"
"Reggie Jackson","DET","PG,SG,G,Flx","406","CLV","PHI Mon 7:00PM","30.5","15.25","40%","-0.4%","2","4","11","1","1","1","10","1","4","8","0","0","1"
"Romeo Langford","BOS","PG,SG,G,Flx","407","CLV","","29.5","7.38","16%","+0.4%","4","6","11","2","0","0","14","3","1","1","2","1","1"
"Thanasis Antetokounmpo","MIL","SF,Flx","408","FA","","29.5","4.92","2%","+0.2%","6","7","12","0","4","8","18","4","1","4","0","1","2"
"Dragan Bender","MIL","PF,C,Flx","409","LAL","","29","9.67","6%","+0.1%","3","6","8","2","1","1","15","0","2","3","0","2","1"
"Timothe Luwawu-Cabarrot","BKN","SG,G,SF,Flx","410","FA","","26.5","3.79","2%","+1.8%","7","8","25","1","5","6","22","0","9","2","1","0","7"
"Tacko Fall","BOS","C,Flx","411","FA","","23.5","7.83","17%","+1.4%","3","6","8","0","1","2","13","0","7","0","0","2","3"
"Luguentz Dort","OKC","SG,G,Flx","412","ATL","","23","4.6","5%","+0.5%","5","5","16","0","3","5","13","0","7","2","2","0","2"
"Jaylen Hoard","POR","SF,Flx","413","FA","NO Mon 10:00PM","23","4.6","1%","-0.3%","5","3","6","0","1","2","7","3","4","2","1","0","0"
"Caleb Martin","CHA","SG,G,Flx","414","FA","","22","4.4","3%","+0.8%","5","3","10","0","3","5","9","1","4","3","1","2","3"
"Tyler Cook","CLE","PF,Flx","415","FA","ATL Mon 7:00PM","22","3.67","1%","-0.1%","6","5","6","0","2","2","12","3","2","0","1","0","1"
"Tremont Waters","BOS","PG,G,Flx","416","HOU","","20","20","6%","+0.8%","1","2","7","1","2","2","7","0","2","3","1","2","2"
"Moses Brown","POR","C,Flx","417","FA","NO Mon 10:00PM","20","5","1%","-0.3%","4","3","7","0","2","4","8","2","7","0","1","0","1"
"Ignas Brazdeikis","NY","SF,Flx","418","GSW","WAS Mon 7:00PM","19.5","2.79","10%","+0.7%","7","5","20","1","3","4","14","2","3","2","0","1","2"
"Ryan Anderson","(N/A)","PF,C,Flx","419","FA","","19.5","9.75","1%","+0.2%","2","2","7","1","0","0","5","0","7","2","1","0","1"
"Amile Jefferson","ORL","PF,Flx","420","FA","CHI Mon 7:00PM","17.5","2.5","1%","-0.3%","7","3","4","0","0","2","6","3","4","2","0","0","2"
"Johnathan Motley","LAC","SF,Flx","421","FA","","17","4.25","2%","+0.5%","4","1","3","1","0","0","3","1","1","3","3","0","3"
"Jaylen Nowell","MIN","SG,G,Flx","422","MEM","@GS Mon 10:30PM","16.5","4.12","3%","0%","4","6","12","0","1","1","13","0","1","3","0","0","1"
"Kadeem Allen","NY","SG,G,Flx","423","FA","WAS Mon 7:00PM","16","16","2%","+0.1%","1","3","6","3","0","0","9","0","0","2","1","0","1"
"Yuta Watanabe","MEM","SG,G,SF,Flx","424","GSW","SA Mon 8:00PM","16","4","2%","+0.7%","4","3","6","1","0","0","7","1","4","0","0","1","1"
"Frank Mason III","MIL","PG,G,Flx","425","FA","","16","4","2%","-0.5%","4","1","7","1","2","4","5","1","1","5","1","0","1"
"Justin Robinson","WAS","PG,G,Flx","426","LAL","@NY Mon 7:00PM","15.5","2.58","5%","0%","6","3","6","1","0","0","7","1","2","3","0","0","2"
"Stanley Johnson","TOR","SG,G,SF,Flx","427","FA","@IND Mon 7:00PM","15","3","7%","-0.3%","5","3","9","1","0","0","7","2","5","0","1","0","4"
"Dewan Hernandez","TOR","C,Flx","428","FA","@IND Mon 7:00PM","15","3.75","4%","+0.6%","4","1","5","0","2","2","4","2","5","0","1","0","1"
"Charlie Brown","ATL","SF,Flx","429","FA","@CLE Mon 7:00PM","15","3.75","1%","-0.3%","4","1","3","1","4","4","7","2","1","0","0","1","0"
"Caleb Swanigan","SAC","PF,C,Flx","430","MIN","HOU Mon 10:00PM","13","2.6","2%","-0.1%","5","1","2","0","1","2","3","1","4","0","1","2","4"
"Josh Magette","ORL","PG,G,Flx","431","FA","CHI Mon 7:00PM","13","4.33","0%","+0.1%","3","2","6","0","1","2","5","1","2","2","2","0","3"
