fr_position,player,fr_2019,fr_2020,fr_2021,fr_2022,fr_2023,fr_2024,fr_rfa,fr_injured,fr_gleague,fr_intl,fr_team,trade_comp,,,,,,,,,fr_team_start2019
5-Apr,Ed Davis,1653750,1736438,,,,,,0,0,0,MEM,MEM,,,,,,,,,MIN
G,Jalen Lecque,700000,735000,771750,,,,,0,1,0,MEM,MEM,,,,,,,,,MEM
G,Tacko Fall,500000,525000,551250,,,,,0,1,0,MEM,MEM,,,,,,,,,MEM
1-Jan,Bryn Forbes,2100000,2205000,2315250,,,,,0,0,0,MIA,MIA,,,,,,,,,MIA
2-Jan,Matthew Dellavedova,1575000,,,,,,,0,0,0,MIA,MIA,,,,,,,,,MIA
2-Jan,Tyrone Wallace,787500,,,,,,,0,0,0,MIA,MIA,,,,,,,,,MIA
3-Feb,Kent Bazemore,11576250,12155063,,,,,,0,0,0,MIA,MIA,,,,,,,,,MIA
4-Mar,Michael Beasley,2480625,2604656,,,,,,0,0,0,MIA,MIA,,,,,,,,,MIA
4-Mar,Dante Cunningham,525000,,,,,,,0,0,0,MIA,MIA,,,,,,,,,MIA
5-Apr,Kevin Love,25595700,,,,,,,0,0,0,MIA,MIA,,,,,,,,,MIA
1-Jan,Shabazz Napier,5000000,5250000,5512500,,,,,0,0,0,MIL,MIL,,,,,,,,,MIL
1-Jan,Delon Wright,11000000,11550000,12127500,12733875,,,,0,0,0,MIL,MIL,,,,,,,,,MIL
2-Jan,Lou Williams,10500000,11025000,11576250,,,,,0,0,0,MIL,MIL,,,,,,,,,MIL
2-Jan,Yogi Ferrell,3150000,3307500,,,,,,0,0,0,MIL,MIL,,,,,,,,,MIL
2-Feb,Jerome Robinson,3572280,3742440,5347946,,,,2022,0,0,0,MIL,MIL,,,,,,,,,MIL
2-Feb,Grayson Allen,2429400,2545320,4054695,,,,,0,0,0,MIL,MIL,,,,,,,,,MIL
3-Feb,Nicolas Batum,8400000,8820000,,,,,,0,0,0,MIL,MIL,,,,,,,,,MIL
3-Feb,Andrew Wiggins,12600000,13230000,13891500,,,,,0,0,0,MIL,MIL,,,,,,,,,MIL
3-Mar,Nassir Little,2105520,2210640,2316240,4171548,,,,0,0,0,MIL,MIL,,,,,,,,,MIL
4-Mar,Rondae Hollis-Jefferson,4500000,4725000,4961250,5209312.5,,,,0,0,0,MIL,MIL,,,,,,,,,MIL
4-Mar,Kyle Kuzma,1974600,3562178,,,,,2021,0,0,0,MIL,MIL,,,,,,,,,MIL
4-Apr,T.J. Leaf,2813280,4326825,,,,,2021,0,0,0,MIL,MIL,,,,,,,,,MIL
5-Apr,John Henson,3858750,4051688,,,,,,0,0,0,MIL,MIL,,,,,,,,,MIL
5-Apr,Jaren Jackson Jr.,6927480,7257360,9180560,,,,2022,0,0,0,MIL,MIL,,,,,,,,,MIL
5-May,Marc Gasol,21000000,,,,,,,0,0,0,MIL,MIL,,,,,,,,,MIL
G,Cody Martin,700000,735000,771750,,,,,0,1,0,MIL,MIL,,,,,,,,,MIL
G,Quinndary Weatherspoon,700000,735000,771750,,,,,0,1,0,MIL,MIL,,,,,,,,,MIL
1-Jan,Kyrie Irving,21329750,,,,,,,0,0,0,MIN,MIN,,,,,,,,,MIN
2-Jan,Seth Curry,5500000,5775000,6063750,6366937.5,,,,0,0,0,MIN,MIN,,,,,,,,,MIN
3-Feb,Mario Hezonja,1000000,1050000,1102500,1157625,,,,0,0,0,MIN,MIN,,,,,,,,,MEM
3-Feb,Khris Middleton,13000000,,,,,,,0,0,0,MIN,MIN,,,,,,,,,MIN
3-Feb,Joe Ingles,6615000,6945750,,,,,,0,0,0,MIN,MIN,,,,,,,,,MIN
3-Mar,Derrick Jones Jr.,1676735,,,,,,,0,0,0,MIN,MIN,,,,,,,,,MIN
SF/PF,Jerami Grant,7350000,7717500,8103375,,,,,0,0,0,MIN,MIN,,,,,,,,,
3-Mar,Royce ONeale,551250,578812.5,,,,,,0,0,0,MIN,MIN,,,,,,,,,MIN
5-Apr,Willie Cauley-Stein,15000000,15750000,16537500,17364375,,,,0,0,0,MIN,MIN,,,,,,,,,MIN
5-Apr,Dwight Powell,3583125,3762281,,,,,,0,0,0,MIN,MIN,,,,,,,,,MIN
5-Apr,Markieff Morris,1000000,1050000,1102500,1157625,,,,0,0,0,MIN,MIN,,,,,,,,,MIN
5-Apr,Kelly Olynyk,1575000,1653750,,,,,,0,0,0,MIN,MIN,,,,,,,,,MIN
5-May,Rudy Gobert,25008427,26525281,,,,,,0,0,0,MIN,MIN,,,,,,,,,MIN
PF/C,Christian Wood,750000,787500,826875,868219,,,,0,0,0,MIN,MIN,,,,,,,,,
G,Dewan Hernandez,500000,525000,551250,,,,2022,0,1,0,MIN,MIN,,,,,,,,,MIN
3-Feb,Alec Burks,1653750,1736438,,,,,,0,0,0,MIN,MIN,,,,,,,,,NOP
1-Jan,Dennis Schroder,10000000,10500000,11025000,11576250,,,,0,0,0,NOP,NOP,,,,,,,,,NOP
1-Jan,Spencer Dinwiddie,9000000,9450000,9922500,10418625,,,,0,0,0,NOP,NOP,,,,,,,,,NOP
1-Jan,Tyus Jones,4500000,4725000,4961250,5209312.5,,,,0,0,0,NOP,NOP,,,,,,,,,NOP
PG/SG,Romeo Langford,3458400,3631200,3804360,5634257,,,,0,0,0,NOP,NOP,,,,,,,,,
2-Jan,Jordan Clarkson,13437500,,,,,,,0,0,0,NOP,NOP,,,,,,,,,NOP
2-Jan,Dante Exum,1000000,1050000,1102500,1157625,,,,0,0,0,NOP,NOP,,,,,,,,,NOP
2-Feb,Donte DiVincenzo,2905800,3044160,4675830,,,,,0,0,0,NOP,NOP,,,,,,,,,NOP
3-Feb,Pat Connaughton,1000000,1050000,,,,,,0,0,0,NOP,NOP,,,,,,,,,NOP
4-Mar,Thaddeus Young,8750000,9187500,9646875,,,,,0,0,0,NOP,NOP,,,,,,,,,NOP
4-Mar,Jae Crowder,7815533,,,,,,,0,0,0,NOP,NOP,,,,,,,,,NOP
4-Mar,Cedi Osman,2898413,,,,,,2020,0,0,0,NOP,NOP,,,,,,,,,NOP
5-Apr,Julius Randle,26775000,28113750,29519437.5,,,,,0,0,0,NOP,NOP,,,,,,,,,NOP
5-May,Jusuf Nurkic,12600000,13230000,13891500,,,,,1,0,0,NOP,NOP,,,,,,,,,NOP
5-May,Jahlil Okafor,4000000,4200000,,,,,,0,0,0,NOP,NOP,,,,,,,,,NOP
5-May,Robin Lopez,2000000,,,,,,,0,0,0,NOP,NOP,,,,,,,,,NOP
G,Kostas Antetokounmpo,735000,771750,,,,,2021,0,1,0,NOP,NOP,,,,,,,,,NYK
1-Jan,Russell Westbrook,30750000,32287500,33901875,35596968.75,,,,0,0,0,NYK,NYK,,,,,,,,,NYK
1-Jan,Trey Burke,500000,525000,551250,,,,,0,0,0,NYK,NYK,,,,,,,,,NYK
2-Jan,Derrick Rose,1378250,,,,,,,0,0,0,NYK,NYK,,,,,,,,,NYK
3-Feb,ETwaun Moore,750000,787500,826875,868218.75,,,,0,0,0,NYK,NYK,,,,,,,,,NYK
3-Feb,David Nwaba,500000,525000,551250,,,,,0,0,0,NYK,NYK,,,,,,,,,NYK
3-Feb,Jonathon Simmons,500000,525000,,,,,,0,0,0,NYK,NYK,,,,,,,,,NYK
3-Mar,Kenrich Williams,525000,551250,578812.5,,,,,0,0,0,NYK,NYK,,,,,,,,,NYK
4-Mar,James Johnson,2000000,2100000,2205000,2315250,,,,0,0,0,NYK,NYK,,,,,,,,,NYK
4-Mar,Jared Dudley,500000,,,,,,,0,0,0,NYK,NYK,,,,,,,,,NYK
4-Mar,Omri Casspi,525000,551250,578812.5,,,,,0,0,0,NYK,NYK,,,,,,,,,NYK
5-Apr,Blake Griffin,23979375,25178343.75,26437260.94,,,,,0,0,0,NYK,NYK,,,,,,,,,NYK
5-Apr,Marvin Bagley III,8556120,8963640,11312114,,,,,0,0,0,NYK,NYK,,,,,,,,,NYK
5-Apr,Andre Drummond,27093019,28751775,,,,,,0,0,0,NYK,NYK,,,,,,,,,NYK
5-Apr,Larry Nance Jr.,7500000,7875000,8268750,8682187.5,,,,0,0,0,NYK,NYK,,,,,,,,,OKC
1-Jan,Terry Rozier,15000000,15750000,16537500,17364375,,,,0,0,0,OKC,OKC,,,,,,,,,OKC
1-Jan,Fred VanVleet,6562500,6890625,7235156.25,,,,,0,0,0,OKC,OKC,,,,,,,,,OKC
1-Jan,Kris Dunn,5348007,,,,,,2020,0,0,0,OKC,OKC,,,,,,,,,OKC
2-Feb,Avery Bradley,6825000,7166250,7524562.5,,,,,0,0,0,OKC,OKC,,,,,,,,,OKC
2-Feb,J.J. Redick,4410000,4630500,,,,,,0,0,0,OKC,OKC,,,,,,,,,OKC
3-Feb,CJ Miles,4410000,4630500,,,,,,0,0,0,OKC,OKC,,,,,,,,,OKC
3-Feb,Evan Fournier,10500000,11025000,11576250,,,,,0,0,0,OKC,OKC,,,,,,,,,OKC
3-Feb,Marco Belinelli,1102500,1157625,,,,,,0,0,0,OKC,OKC,,,,,,,,,OKC
3-Feb,Wesley Matthews,8544375,8971594,,,,,,0,0,0,OKC,OKC,,,,,,,,,OKC
3-Apr,Nemanja Bjelica,826875,868219,,,,,,0,0,0,OKC,OKC,,,,,,,,,OKC
5-Apr,DeMarcus Cousins,7250000,7612500,7993125,8392781.25,,,,1,0,0,OKC,OKC,,,,,,,,,OKC
5-Apr,Miles Plumlee,1000000,1050000,1102500,1157625,,,,0,0,0,OKC,OKC,,,,,,,,,OKC
5-Apr,Nerlens Noel,8820000,9261000,,,,,,0,0,0,OKC,OKC,,,,,,,,,OKC
5-May,Ivica Zubac,12000000,12600000,13230000,13891500,,,,0,0,0,OKC,OKC,,,,,,,,,OKC
INTL,Alpha Kaba,,,,,,,,0,0,1,OKC,OKC,,,,,,,,,ORL
1-Jan,DeAaron Fox,6392760,8099627,,,,,2021,0,0,0,ORL,ORL,,,,,,,,,ORL
1-Jan,Frank Ntilikina,4855800,6176578,,,,,2021,0,0,0,ORL,ORL,,,,,,,,,ORL
2-Jan,DAngelo Russell,27285000,28649250,30081712.5,31585798.1,,,,0,0,0,ORL,ORL,,,,,,,,,ORL
2-Jan,James Harden,32703493,,,,,,,0,0,0,ORL,ORL,,,,,,,,,ORL
2-Feb,Buddy Hield,4861208,,,,,,2020,0,0,0,ORL,ORL,,,,,,,,,ORL
3-Feb,Damyean Dotson,1618520,,,,,,2020,0,0,0,ORL,ORL,,,,,,,,,ORL
4-Mar,Robert Covington,16800000,,,,,,,0,0,0,ORL,ORL,,,,,,,,,ORL
4-Mar,Josh Jackson,7059480,8930242,,,,,2021,0,0,0,ORL,ORL,,,,,,,,,ORL
4-Mar,Troy Williams,1378125,1447031,,,,,,0,0,0,ORL,ORL,,,,,,,,,ORL
5-Apr,Zach Collins,4240200,5406255,,,,,2021,0,0,0,ORL,ORL,,,,,,,,,ORL
5-Apr,Kyle O'Quinn,525000,551250,,,,,,0,0,0,ORL,ORL,,,,,,,,,ATL
5-May,Daniel Gafford,1000000,1050000,1102500,,,,,0,0,0,ORL,ORL,,,,,,,,,ORL
G,Alen Smailagic (PF),700000,735000,771750,,,,,0,1,0,ORL,ORL,,,,,,,,,PHI
2-Jan,Dennis Smith Jr.,4463640,5686677,,,,,2021,0,0,0,PHI,PHI,,,,,,,,,PHI
2-Jan,Jamal Murray,4444746,,,,,,2020,0,0,0,PHI,PHI,,,,,,,,,PHI
3-Jan,Ben Simmons,8113930,,,,,,2020,0,0,0,PHI,PHI,,,,,,,,,PHI
2-Feb,Luke Kennard,3827160,5273826,,,,,2021,0,0,0,PHI,PHI,,,,,,,,,PHI
3-Feb,Jeremy Lamb,17000000,,,,,,,0,0,0,PHI,PHI,,,,,,,,,PHI
3-Mar,Kelly Oubre Jr.,7000000,7350000,7717500,8103375,,,,0,0,0,PHI,PHI,,,,,,,,,PHI
3-Mar,Matisse Thybulle,2582160,2711280,2840160,4379527,,,,0,0,0,PHI,PHI,,,,,,,,,PHI
4-Mar,Trevor Ariza,1500000,,,,,,,0,0,0,PHI,PHI,,,,,,,,,PHI
4-Mar,Pascal Siakam,2351839,,,,,,2020,0,0,0,PHI,PHI,,,,,,,,,PHI
4-Mar,PJ Washington,3831840,4023600,4215120,5808435,,,,0,0,0,PHI,PHI,,,,,,,,,PHI
4-Mar,Kyle Anderson,7350000,7717500,8103375,,,,,0,0,0,PHI,PHI,,,,,,,,,PHI
5-Apr,Rui Hachimura,4469160,4692840,4916160,6263188,,,,0,0,0,PHI,PHI,,,,,,,,,PHI
4-May,Mike Muscala,525000,551250,,,,,,0,0,0,PHI,PHI,,,,,,,,,PHI
5-May,Clint Capela,21000000,22050000,23152500,,,,,0,0,0,PHI,PHI,,,,,,,,,PHI
5-May,Myles Turner,20000000,21000000,22050000,23152500,,,,0,0,0,PHI,PHI,,,,,,,,,PHI
INTL,Vasilje Micic,,,,,,,,0,1,0,PHI,PHI,,,,,,,,,PHX
1-Jan,Ja Morant,8730240,9166800,9603360,12119440,,,,0,0,0,PHX,PHX,,,,,,,,,PHX
1-Jan,Shake Milton,735000,771750,,,,,2021,0,0,0,PHX,PHX,,,,,,,,,PHX
2-Feb,Malik Monk,4028400,5345687,,,,,2021,0,0,0,PHX,PHX,,,,,,,,,PHX
2-Feb,Danuel House,3500000,3675000,,,,,,0,0,0,PHX,PHX,,,,,,,,,PHX
2-Feb,Furkan Korkmaz,2033160,3665787,,,,,2021,0,0,0,PHX,PHX,,,,,,,,,PHX
2-Feb,Dwayne Bacon,1618520,,,,,,2020,0,0,0,PHX,PHX,,,,,,,,,PHX
3-Feb,Nickeil Alexander-Walker,2964840,3113160,3261480,5009633,,,,0,0,0,PHX,PHX,,,,,,,,,PHX
3-Feb,Jake Layman,525000,,,,,,,0,0,0,PHX,PHX,,,,,,,,,PHX
4-Mar,Paul George,28250000,29662500,31145625,32702906.25,,,,0,0,0,PHX,PHX,,,,,,,,,PHX
4-Mar,Jayson Tatum,7830000,9897120,,,,,2021,0,0,0,PHX,PHX,,,,,,,,,PHX
5-Apr,Derrick Favors,15000000,15750000,16537500,17364375,,,,0,0,0,PHX,PHX,,,,,,,,,PHX
5-Apr,Mason Plumlee,7993125,8392781,,,,,,0,0,0,PHX,PHX,,,,,,,,,PHX
5-May,Angel Delgado,500000,525000,551250,578812.5,,,,0,0,0,PHX,PHX,,,,,,,,,PHX
G,Mfiondu Kabengele,1000000,1050000,1102500,,,,,0,1,0,PHX,PHX,,,,,,,,,POR
4,Marquese Chriss,4078236,,,,,,2020,0,0,0,POR,POR,,,,,,,,,POR
4,DJ Wilson,2961120,4548280,,,,,2021,0,0,0,POR,POR,,,,,,,,,POR
4,Patrick Patterson,525000,,,,,,,0,0,0,POR,POR,,,,,,,,,POR
5,Hassan Whiteside,27093019,,,,,,,0,0,0,POR,POR,,,,,,,,,POR
5,Alex Len,4685625,4919906.25,,,,,,0,0,0,POR,POR,,,,,,,,,POR
1-Jan,Monte Morris,1312500,1378125,1447031.25,,,,,0,0,0,POR,POR,,,,,,,,,POR
1-Jan,Patty Mills,7166250,7524563,,,,,,0,0,0,POR,POR,,,,,,,,,POR
2-Jan,Austin Rivers,4685625,,,,,,,0,0,0,POR,POR,,,,,,,,,POR
2-Jan,Alex Caruso,500000,525000,551250,,,,,0,0,0,POR,POR,,,,,,,,,POR
2-Feb,Lonnie Walker,2760480,2892000,4447896,,,,2022,0,0,0,POR,POR,,,,,,,,,POR
3-Feb,Jimmy Butler,19841627,,,,,,,0,0,0,POR,POR,,,,,,,,,POR
3-Feb,Tony Snell,525000,551250,,,,,,0,0,0,POR,POR,,,,,,,,,POR
4-Mar,Kawhi Leonard,21329750,,,,,,,0,0,0,POR,POR,,,,,,,,,POR
5-Apr,Jordan Bell,2000000,2100000,2205000,,,,,0,0,0,POR,POR,,,,,,,,,POR
5-Apr,Pau Gasol,1000000,,,,,,,0,0,0,POR,POR,,,,,,,,,LAL
1-Jan,Damian Lillard,29802321,31626953,,,,,,0,0,0,SAC,SAC,,,,,,,,,LAL
1-Jan,Cory Joseph,5775000,,,,,,,0,0,0,SAC,SAC,,,,,,,,,LAL
2-Jan,JJ Barea,750000,787500,,,,,,0,0,0,SAC,SAC,,,,,,,,,LAL
2-Feb,Zhaire Smith,3058800,3204600,4915856,,,,2022,0,0,0,SAC,SAC,,,,,,,,,LAL
3-Feb,Terrence Ross,4250000,4462500,4685625,4919906.25,,,,0,0,0,SAC,SAC,,,,,,,,,LAL
3-Feb,Tim Hardaway Jr.,8820000,9261000,9724050,,,,,0,0,0,SAC,SAC,,,,,,,,,LAL
4-Mar,Marcus Morris,6250000,6562500,6890625,7235156.25,,,,0,0,0,SAC,SAC,,,,,,,,,LAL
4-Mar,Al-Farouq Aminu,1750000,1837500,1929375,,,,,0,0,0,SAC,SAC,,,,,,,,,LAL
4-Mar,PJ Tucker,2451225,,,,,,,0,0,0,SAC,SAC,,,,,,,,,LAL
4-Mar,Georges Niang,525000,,,,,,,0,0,0,SAC,SAC,,,,,,,,,LAL
4-Mar,Alfonzo McKinnie,500000,525000,551250,,,,,0,0,0,SAC,SAC,,,,,,,,,LAL
4-Mar,Giannis Antetokounmpo,25842697,27528090,,,,,,0,0,0,SAC,SAC,,,,,,,,,LAL
5-Apr,Paul Millsap,9712500,10198125,10708031.25,,,,,0,0,0,SAC,SAC,,,,,,,,,LAL
5-Apr,Montrezl Harrell,6300000,6615000,6945750,,,,,0,0,0,SAC,SAC,,,,,,,,,LAL
5-Apr,Jarell Martin,525000,,,,,,,0,0,0,SAC,SAC,,,,,,,,,LAL
INTL,Nikola Milutinov,,,,,,,,0,0,1,SAC,SAC,,,,,,,,,LAL
INTL,Isaia Cordinier,,,,,,,,0,0,1,SAC,SAC,,,,,,,,,SAS
1-Jan,Aaron Holiday,2239200,2345640,3980551,,,,,0,0,0,SAS,SAS,,,,,,,,,SAS
1-Jan,Jevon Carter,1416852,,,,,,2020,0,0,0,SAS,SAS,,,,,,,,,SAS
1-Jan,Shelvin Mack,525000,,,,,,,0,0,0,SAS,SAS,,,,,,,,,SAS
2-Jan,Malcolm Brogdon,14750000,15487500,16261875,17074968.75,,,,0,0,0,SAS,SAS,,,,,,,,,SAS
3-Feb,Josh Okogie,2530680,2771040,4272944,,,,2022,0,0,0,SAS,SAS,,,,,,,,,SAS
3-Feb,Joe Harris,4200000,,,,,,,0,0,0,SAS,SAS,,,,,,,,,SAS
3-Feb,Justin Holiday,826875,868219,,,,,,0,0,0,SAS,SAS,,,,,,,,,SAS
3-Feb,Doug McDermott,3675000,3858750,,,,,,0,0,0,SAS,SAS,,,,,,,,,SAS
4-Mar,TJ Warren,9450000,9922500,10418625,,,,,0,0,0,SAS,SAS,,,,,,,,,SAS
4-Mar,Rudy Gay,9000000,,,,,,,0,0,0,SAS,SAS,,,,,,,,,SAS
5-Apr,LaMarcus Aldridge,18500000,19425000,20396250,,,,,0,0,0,SAS,SAS,,,,,,,,,SAS
5-Apr,Al Horford,18500000,19425000,20396250,,,,,0,0,0,SAS,SAS,,,,,,,,,SAS
5-Apr,JaMychal Green,9371250,9839813,,,,,,0,0,0,SAS,SAS,,,,,,,,,SAS
5-Apr,Caleb Swanigan,2033160,3665787,,,,,2021,0,0,0,SAS,SAS,,,,,,,,,SAS
5-May,Willy Hernangomez,1557250,,,,,,,0,0,0,SAS,SAS,,,,,,,,,TOR
1-Jan,Rajon Rondo,10473750,10997438,,,,,,0,0,0,TOR,TOR,,,,,,,,,TOR
1-Jan,TJ McConnell,1500000,,,,,,,0,0,0,TOR,TOR,,,,,,,,,TOR
3-Feb,Malik Beasley,2731714,,,,,,,0,0,0,TOR,TOR,,,,,,,,,TOR
3-Feb,Sterling Brown,1618520,,,,,,,0,0,0,TOR,TOR,,,,,,,,,TOR
3-Feb,Gerald Green,500000,,,,,,,1,0,0,TOR,TOR,,,,,,,,,TOR
3-Feb,Kyle Korver,500000,,,,,,,0,0,0,TOR,TOR,,,,,,,,,TOR
4-Mar,Jabari Parker,7500000,7875000,8268750,,,,,0,0,0,TOR,TOR,,,,,,,,,TOR
4-Mar,Justin Jackson,4500000,4725000,4961250,5209312.5,,,,0,0,0,TOR,TOR,,,,,,,,,TOR
4-Mar,Joe Johnson,1250000,,,,,,,0,0,0,TOR,TOR,,,,,,,,,TOR
4-Apr,Trey Lyles,4629207,,,,,,,0,0,0,TOR,TOR,,,,,,,,,TOR
5-Apr,Nikola Vucevic,26000000,27300000,28665000,,,,,0,0,0,TOR,TOR,,,,,,,,,TOR
5-Apr,Draymond Green,18539130,,,,,,,0,0,0,TOR,TOR,,,,,,,,,TOR
5-May,Aron Baynes,5512500,,,,,,,0,0,0,TOR,TOR,,,,,,,,,TOR
5-May,DeAndre Jordan,10000000,10500000,11025000,,,,,0,0,0,TOR,TOR,,,,,,,,,TOR
1-Jan,Devonte Graham,630000,661500,,,,,2021,0,0,0,UTA,UTA,,,,,,,,,UTA
2-Feb,Eric Gordon,14057730,,,,,,,0,0,0,UTA,UTA,,,,,,,,,UTA
3-Feb,DeMar DeRozan,27739975,27739975,,,,,,0,0,0,UTA,UTA,,,,,,,,,UTA
3-Feb,Chandler Hutchison,1050000,1102500,,,,,2021,0,0,0,UTA,UTA,,,,,,,,,UTA
3-Feb,Dion Waiters,9922500,10418625,,,,,,0,0,0,UTA,UTA,,,,,,,,,UTA
3-Feb,Gordon Hayward,28665000,30098250,31603163,,,,,0,0,0,UTA,UTA,,,,,,,,,UTA
3-Mar,DeAndre' Bembry,2603982,,,,,,2020,0,0,0,UTA,UTA,,,,,,,,,UTA
4-Mar,Semi Ojeleye,1618520,1752950,,,,,2021,0,0,0,UTA,UTA,,,,,,,,,UTA
4-Mar,Wilson Chandler,6300000,,,,,,,0,0,0,UTA,UTA,,,,,,,,,UTA
4-Apr,Abdel Nader,525000,,,,,,,0,0,0,UTA,UTA,,,,,,,,,UTA
5-Apr,Thon Maker,3569643,,,,,,2020,0,0,0,UTA,UTA,,,,,,,,,UTA
5-Apr,Daniel Theis,551250,578812.5,,,,,,0,0,0,UTA,UTA,,,,,,,,,UTA
2-Jan,Cam Reddish,4245720,4458000,4670160,5954454,,,2023,0,0,0,WAS,WAS,,,,,,,,,WAS
2-Jan,Jrue Holiday,19845000,20837250,,,,,,0,0,0,WAS,WAS,,,,,,,,,WAS
4-Jan,Justise Winslow,13000000,13650000,14332500,15049125,,,,0,0,0,WAS,WAS,,,,,,,,,WAS
2-Feb,Bradley Beal,27093019,28751775,,,,,,0,0,0,WAS,WAS,,,,,,,,,WAS
2-Feb,Sviatoslav Mykhailiuk,945000,992250,,,,,,0,0,0,WAS,WAS,,,,,,,,,WAS
3-Mar,Dylan Windler,2035800,2137440,2239200,4037278,,,2023,0,0,0,WAS,WAS,,,,,,,,,WAS
3-Mar,KZ Okpala,800000,840000,882000,,,,2022,0,0,0,WAS,WAS,,,,,,,,,WAS
4-Mar,Michael Kidd-Gilchrist,3150000,3307500,3472875,,,,,0,0,0,WAS,WAS,,,,,,,,,WAS
4-Mar,Chris Boucher,525000,551250,,,,,,0,0,0,WAS,WAS,,,,,,,,,WAS
4-Apr,Grant Williams,2379840,2498760,2617800,4306281,,,2023,0,0,0,WAS,WAS,,,,,,,,,WAS
4-Apr,Ivan Rabb,525000,,,,,,,0,0,0,WAS,WAS,,,,,,,,,WAS
5-Apr,Jarrett Allen,2376840,3909902,,,,,2021,0,0,0,WAS,WAS,,,,,,,,,WAS
5-May,Damian Jones,1050000,1102500,1157625,,,,,0,0,0,WAS,WAS,,,,,,,,,WAS
INTL,Nemanja Dangubic,,,,,,,,0,0,1,WAS,WAS,,,,,,,,,WAS
