fr_position,player,fr_2019,fr_2020,fr_2021,fr_2022,fr_2023,fr_2024,fr_rfa,fr_injured,fr_gleague,fr_intl,fr_team,trade_comp,,,,,,,,,fr_team_start2019
2-Feb,Bruce Brown Jr.,840000,882000,,,,,2021,0,0,0,BOS,BOS,,,,,,,,,BOS
3-Mar,Evan Turner,1050000,1102500,1157625,,,,,0,0,0,BOS,BOS,,,,,,,,,BOS
3-Mar,Danilo Gallinari,13230000,13891500,14586075,,,,,0,0,0,BOS,BOS,,,,,,,,,BOS
4-Mar,Jonathan Isaac,5806440,7362566,,,,,2021,0,0,0,BOS,BOS,,,,,,,,,BOS
4-Apr,Harrison Barnes,9450000,9922500,10418625,,,,,0,0,0,BOS,BOS,,,,,,,,,BOS
5-Apr,Anthony Davis,27093019,28751775,,,,,,0,0,0,BOS,BOS,,,,,,,,,BOS
5-Apr,Khem Birch,525000,551250,,,,,,0,0,0,BOS,BOS,,,,,,,,,BOS
5-May,Chimezie Metu,735000,771750,,,,,2021,0,1,0,BOS,BOS,,,,,,,,,BOS
5-May,Bam Adebayo,3454080,5115492,,,,,2021,0,0,0,BOS,BOS,,,,,,,,,BOS
5-May,Thomas Bryant,10000000,10500000,11025000,11576250,,,,0,0,0,BOS,BOS,,,,,,,,,BOS
3,Isaac Bonga,840000,882000,,,,,,0,0,0,BOS,BOS,,,,,,,,,BOS
INTL,Issuf Sanon,,,,,,,,0,0,1,BOS,BOS,,,,,,,,,BOS
1-Jan,Kemba Walker,28500000,29925000,31421250,32992312.5,,,,0,0,0,CHA,CHA,,,,,,,,,CHA
1-Jan,D.J. Augustin,1102500,,,,,,,0,0,0,CHA,CHA,,,,,,,,,CHA
1-Jan,Shai Gilgeous-Alexander,3952920,4141320,5495532,,,,2022,0,0,0,CHA,CHA,,,,,,,,,CHA
3-Feb,Dillon Brooks,1618520,,,,,,2020,0,0,0,CHA,CHA,,,,,,,,,CHA
3-Feb,Torrey Craig,551250,578812.5,,,,,,0,0,0,CHA,CHA,,,,,,,,,CHA
3-Mar,Taurean Prince,3481986,,,,,,2020,0,0,0,CHA,CHA,,,,,,,,,CHA
4-Mar,LeBron James,33000000,34650000,36382500,,,,,0,0,0,CHA,CHA,,,,,,,,,CHA
4-Mar,Demarre Carroll,4134375,4341094,,,,,,0,0,0,CHA,CHA,,,,,,,,,CHA
4-Apr,Solomon Hill,525000,551250,,,,,,0,0,0,CHA,CHA,,,,,,,,,CHA
4-Apr,Isaiah Hartenstein,1416852,1663861,,,,,2021,0,0,0,CHA,CHA,,,,,,,,,CHA
4-Apr,Dario Saric,3481986,,,,,,2020,0,0,0,CHA,CHA,,,,,,,,,CHA
5-Apr,Dwight Howard,6500000,,,,,,,0,0,0,CHA,CHA,,,,,,,,,CHA
5-Apr,Gorgui Dieng,3307500,,,,,,,0,0,0,CHA,CHA,,,,,,,,,CHA
5-May,Dewayne Dedmon,7717500,8103375,,,,,,0,0,0,CHA,CHA,,,,,,,,,CHA
INTL,Alessandro Gentile,,,,,,,,0,0,1,CHA,CHA,,,,,,,,,CHA
INTL,Ognejen Jaramaz,,,,,,,,0,0,1,CHA,CHA,,,,,,,,,CHA
1-Jan,Kyle Lowry,28665000,30098250,,,,,,0,0,0,CHI,CHI,,,,,,,,,CHI
PG,Ryan Arcidiacono,500000,,,,,,,0,0,0,CHI,CHI,,,,,,,,,
1-Jan,Coby White,5307120,5572680,5837760,7413955,,,2023,0,0,0,CHI,CHI,,,,,,,,,CHI
2-Jan,Tyler Johnson,3000000,3150000,3307500,3472875,,,,0,0,0,CHI,CHI,,,,,,,,,CHI
3-Feb,Jaylen Brown,6534829,,,,,,2020,0,0,0,CHI,CHI,,,,,,,,,CHI
