Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FG-,3PTM,FTM,FT-,PTS,OREB,DREB,AST,ST,BLK,TO
Wilson Chandler,BKN,"SF,PF,Flx",392,WSH,WSH,,44.25,11.06,9%,-2%,4,11,1,2,0,21,1,18,5,3,1,6
Malcolm Miller,TOR,"PF,Flx",393,FA,FA,,41.5,2.59,2%,-0.10%,16,12,5,1,5,18,1,13,6,4,2,3
Courtney Lee,DAL,"SG,SF,Flx",394,NOP,NOP,,41.5,5.19,1%,0%,8,9,7,0,0,33,0,3,3,0,2,2
Mfiondu Kabengele,LAC,"C,Flx",395,UTH,UTH,,39.75,3.98,11%,-0.10%,10,12,6,3,0,29,1,7,1,1,1,1
Dante Exum,UTA,"PG,SG,Flx",396,POR,POR,,38.25,3.48,9%,-0.10%,11,13,2,2,0,24,3,9,7,1,2,10
Shake Milton,PHI,"PG,Flx",397,PHX,PHX,,37.75,3.77,4%,-0.30%,10,23,4,7,2,37,1,7,7,1,0,12
James Johnson,MIA,"SF,PF,Flx",398,MIN,MIN,,37.5,6.25,11%,-0.50%,6,10,2,2,2,20,2,9,4,3,2,4
Harry Giles,SAC,"PF,C,Flx",399,MIA,MIA,,37.25,5.32,19%,-0.40%,7,14,0,2,0,24,3,4,5,2,3,5
Vincent Poirier,BOS,"C,Flx",400,UTH,UTH,,36.75,4.08,4%,0%,9,7,0,1,1,15,8,7,3,2,2,3
Gary Payton II,WAS,"SG,Flx",401,FA,FA,,34.75,34.75,3%,2.40%,1,4,1,1,1,10,4,7,5,6,0,2
Wenyen Gabriel,SAC,"PF,Flx",402,WSH,WSH,,28,4,3%,-0.20%,7,11,1,5,4,16,4,4,3,2,2,3
Naz Mitrou-Long,IND,"PG,Flx",403,FA,FA,,28,9.33,1%,0%,3,10,2,0,0,14,0,6,7,1,1,2
Thanasis Antetokounmpo,MIL,"SF,Flx",404,POR,POR,,26.5,4.42,2%,-0.10%,6,5,0,4,4,18,4,1,4,0,1,2
Alize Johnson,IND,"PF,Flx",405,CHI,CHI,,26.25,2.92,3%,0%,9,6,0,3,1,13,6,6,2,0,0,1
Jaylen Nowell,MIN,"SG,Flx",406,DET,DET,,25.5,5.1,3%,0%,5,9,0,5,0,19,0,2,5,0,0,1
Dragan Bender,MIL,"PF,C,Flx",407,FA,FA,,25,8.33,6%,0%,3,2,2,1,0,15,0,2,3,0,2,1
Chandler Parsons,ATL,"SF,PF,Flx",408,ORL,ORL,,24.75,6.19,2%,-0.40%,4,9,4,0,0,14,1,5,2,4,0,2
Drew Eubanks,SA,"PF,Flx",409,FA,FA,,24.25,6.06,1%,0%,4,5,0,1,0,11,5,8,2,0,1,4
Reggie Jackson,DET,"PG,SG,Flx",410,DEN,DEN,,23.75,11.88,39%,-0.30%,2,7,1,1,0,10,1,4,8,0,0,1
Romeo Langford,BOS,"PG,SG,Flx",411,OKC,OKC,,22.75,5.69,16%,0%,4,5,2,0,0,14,3,1,1,2,1,1
Timothe Luwawu-Cabarrot,BKN,"SG,SF,Flx",412,FA,FA,,22.25,3.18,1%,-0.80%,7,17,1,5,1,22,0,9,2,1,0,7
Tacko Fall,BOS,"C,Flx",413,GSW,GSW,,19.75,6.58,18%,-0.10%,3,2,0,1,1,13,0,7,0,0,2,3
Justin Robinson,WAS,"PG,Flx",414,WSH,WSH,,18.75,2.68,5%,-0.20%,7,5,2,0,0,10,1,3,4,0,1,2
Tyler Cook,CLE,"PF,Flx",415,FA,FA,,18.75,3.12,1%,0%,6,1,0,2,0,12,3,2,0,1,0,1
Luguentz Dort,OKC,"SG,Flx",416,MIL,MIL,,18.5,3.7,4%,-0.80%,5,11,0,3,2,13,0,7,2,2,0,2
Caleb Martin,CHA,"SG,Flx",417,FA,FA,,17.75,3.55,3%,-0.20%,5,7,0,3,2,9,1,4,3,1,2,3
Jaylen Hoard,POR,"SF,Flx",418,FA,FA,,17.5,3.5,1%,-0.10%,5,3,0,1,1,7,3,4,2,1,0,0
Ignas Brazdeikis,NY,"SF,Flx",419,DEN,DEN,,16.25,2.32,10%,-0.10%,7,15,1,3,1,14,2,3,2,0,1,2
Tremont Waters,BOS,"PG,Flx",420,OKC,OKC,,16,16,6%,-0.10%,1,5,1,2,0,7,0,2,3,1,2,2
Moses Brown,POR,"C,Flx",421,FA,FA,,15.5,3.88,1%,0%,4,4,0,2,2,8,2,7,0,1,0,1
Charlie Brown,ATL,"SF,Flx",422,FA,FA,,14,3.5,1%,-0.20%,4,2,1,4,0,7,2,1,0,0,1,0
Ryan Anderson,(N/A),"PF,C,Flx",423,FA,FA,,13.5,6.75,1%,0%,2,5,1,0,0,5,0,7,2,1,0,1
Amile Jefferson,ORL,"PF,Flx",424,PHX,PHX,,12.75,1.82,1%,-0.20%,7,1,0,0,2,6,3,4,2,0,0,2
Kadeem Allen,NY,"SG,Flx",425,FA,FA,,12.5,12.5,2%,-0.10%,1,3,3,0,0,9,0,0,2,1,0,1
Yuta Watanabe,MEM,"SG,SF,Flx",426,FA,FA,,12.25,3.06,2%,-0.10%,4,3,1,0,0,7,1,4,0,0,1,1
