Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FG-,3PTM,FTM,FT-,PTS,OREB,DREB,AST,ST,BLK,TO
Justin Brownlee,(N/A),"PF,Flx",739,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Brussino,(N/A),"SG,SF,Flx",740,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Dwight Buycks,(N/A),"PG,Flx",741,BOS,BOS,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Justin Cage,CHI,"SF,PF,Flx",742,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Nik Caner-Medley,SAC,"SF,PF,Flx",743,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Caracter,LAL,"PF,Flx",744,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Phillip Carr,NY,"PF,Flx",745,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jeffrey Carroll,LAL,"SG,Flx",746,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Matt Carroll,NO,"SG,SF,Flx",747,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Brian Chase,MIA,"PG,SG,Flx",748,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Eric Chenowith,NO,"C,Flx",749,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Will Cherry,GS,"PG,Flx",750,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Christopher,UTA,"SG,Flx",751,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Coty Clarke,BOS,"SF,Flx",752,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Victor Claver,DEN,"SG,SF,Flx",753,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Speedy Claxton,GS,"PG,Flx",754,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Antonius Cleveland,DAL,"SG,Flx",755,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Collinsworth,(N/A),"SG,Flx",756,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Will Conroy,MIN,"PG,SG,Flx",757,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Elgin Cook,GS,"SF,Flx",758,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Derek Cooke Jr.,PHO,"PF,Flx",759,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Charles Cooke,MIA,"SG,Flx",760,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Cotton,MEM,"PG,Flx",761,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jaleel Cousins,GS,"C,Flx",762,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Craft,GS,"PG,Flx",763,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Chris Crawford,MEM,"SG,Flx",764,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Drew Crawford,TOR,"SG,Flx",765,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Mitch Creek,(N/A),"SG,Flx",766,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jared Cunningham,MIL,"PG,SG,Flx",767,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Eddy Curry,DAL,"C,Flx",768,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Davies,BKN,"PF,Flx",769,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Josh Davis,MEM,"PF,Flx",770,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Paul Davis,WAS,"PF,C,Flx",771,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ricky Davis,LAC,"SG,SF,Flx",772,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Andre Dawkins,BOS,"SG,Flx",773,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Branden Dawson,ORL,"SF,PF,Flx",774,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Willie Deane,WAS,"PG,SG,Flx",775,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Dejean-Jones,NO,"PG,SG,Flx",776,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Delfino,LAC,"SG,SF,Flx",777,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Justin Dentmon,DAL,"PG,Flx",778,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Guillermo Diaz,LAC,"PG,SG,Flx",779,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Dixon,BOS,"SG,Flx",780,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Joey Dorsey,DEN,"PF,C,Flx",781,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Quincy Douby,TOR,"PG,SG,Flx",782,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Toney Douglas,MEM,"PG,SG,Flx",783,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Douthit,LAC,"C,Flx",784,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Robert Dozier,MIA,"SF,PF,Flx",785,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Larry Drew II,NO,"PG,Flx",786,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Chris Duhon,LAL,"PG,Flx",787,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Duje Dukan,SAC,"SF,Flx",788,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kellen Dunham,MEM,"SG,Flx",789,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ronald Dupree,MEM,"SF,Flx",790,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Cleanthony Early,NY,"SF,Flx",791,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Devin Ebanks,DAL,"SG,SF,Flx",792,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jarell Eddie,CHI,"SG,Flx",793,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
John Edwards,MIN,"C,Flx",794,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Melvin Ejim,ORL,"SF,PF,Flx",795,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Chris Ellis,POR,"SF,PF,Flx",796,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Keenan Evans,DET,"PG,Flx",797,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Festus Ezeli,POR,"C,Flx",798,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Fair,CHI,"PF,Flx",799,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Farmar,SAC,"PG,Flx",800,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Vitor Faverani,BOS,"C,Flx",801,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Carrick Felix,WAS,"SG,SF,Flx",802,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kyrylo Fesenko,MIN,"C,Flx",803,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kimani Ffriend,LAC,"C,Flx",804,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Gerald Fitch,DET,"PG,SG,Flx",805,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Gary Flowers,GS,"SF,PF,Flx",806,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jonny Flynn,DET,"PG,Flx",807,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Gary Forbes,BKN,"SG,SF,Flx",808,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Courtney Fortson,LAC,"PG,SG,Flx",809,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Richie Frahm,LAC,"SG,Flx",810,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jamaal Franklin,DEN,"SG,SF,Flx",811,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Trey Freeman,DET,"PG,Flx",812,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tony Gaffney,MEM,"PF,Flx",813,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Sundiata Gaines,IND,"PG,SG,Flx",814,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Hassani Gravett,(N/A),"PG,Flx",815,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Hamilton,(N/A),"SF,Flx",816,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Dusty Hannahs,(N/A),"PG,Flx",817,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Harrison,(N/A),"PG,Flx",818,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Stephan Hicks,IND,"SG,Flx",819,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
William Howard,(N/A),"SF,Flx",820,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Josh Huestis,SA,"SF,Flx",821,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Andre Ingram,LAL,"SG,Flx",822,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Stefan Jankovic,(N/A),"PF,Flx",823,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ognen Jaramaz,NY,"PG,Flx",824,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Livio Jean-Charles,(N/A),"SF,PF,Flx",825,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
B.J. Johnson,ORL,"SF,Flx",826,FA,FA,,0,0,0%,0%,1,0,0,0,0,0,0,0,0,0,0,0
Dakari Johnson,(N/A),"C,Flx",827,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Peter Jok,PHO,"PG,Flx",828,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
George King,(N/A),"SG,Flx",829,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
V.J. King,(N/A),"SG,Flx",830,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Christ Koumadje,(N/A),"C,Flx",831,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Shane Larkin,(N/A),"PG,Flx",832,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Vic Law,(N/A),"PG,Flx",833,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Zach Lofton,DET,"SG,Flx",834,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Shawn Long,(N/A),"PF,C,Flx",835,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Loyd,(N/A),"PG,Flx",836,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Sheldon Mac,(N/A),"SG,Flx",837,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
J.P. Macura,(N/A),"SG,Flx",838,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Dakota Mathias,(N/A),"PG,Flx",839,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kennedy Meeks,TOR,"C,Flx",840,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Mickey,(N/A),"PF,C,Flx",841,PHI,PHI,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Eric Moreland,(N/A),"PF,Flx",842,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Donatas Motiejunas,(N/A),"PF,C,Flx",843,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Nogueira,(N/A),"PF,C,Flx",844,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
James Nunnally,HOU,"SF,Flx",845,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jermaine O'Neal,(N/A),"C,Flx",846,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Paul,SA,"SG,Flx",847,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
L.J. Peak,BOS,"SG,Flx",848,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kendrick Perkins,(N/A),"C,Flx",849,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Alec Peters,(N/A),"PF,Flx",850,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Pineiro,(N/A),"SG,Flx",851,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tayshaun Prince,(N/A),"SF,PF,Flx",852,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Richards,(N/A),"PF,C,Flx",853,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Brian Scalabrine,(N/A),"PF,C,Flx",854,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Renaldas Seibutis,LAC,"PG,SG,Flx",855,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ramon Sessions,(N/A),"PG,SG,Flx",856,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jason Smith,NO,"PF,C,Flx",857,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Edy Tavares,(N/A),"C,Flx",858,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Milos Teodosic,LAC,"PG,SG,Flx",859,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Emanuel Terry,MIA,"PF,Flx",860,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Melo Trimble,MIN,"PG,Flx",861,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Sasha Vujacic,(N/A),"SG,Flx",862,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Maalik Wayns,DAL,"PG,SG,Flx",863,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Travis Wear,LAL,"PF,Flx",864,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Okaro White,WAS,"PF,Flx",865,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Lindell Wigginton,(N/A),"PG,Flx",866,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Metta World Peace,(N/A),"SF,PF,Flx",867,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Rade Zagorac,(N/A),"SF,Flx",868,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ronnie Aguilar,(N/A),"C,Flx",869,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Lance Allred,(N/A),"C,Flx",870,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
James Anderson,(N/A),"SG,SF,Flx",871,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Braian Angola-Rodas,(N/A),"SG,Flx",872,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Darion Atkins,(N/A),"PF,Flx",873,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Yudai Baba,(N/A),"SF,Flx",874,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ondrej Balvin,(N/A),"C,Flx",875,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Barnett,(N/A),"SF,Flx",876,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tyus Battle,(N/A),"SG,Flx",877,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kavell Bigby-Williams,(N/A),"C,Flx",878,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Bennie Boatwright,(N/A),"PF,Flx",879,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Matt Bonner,(N/A),"PF,C,Flx",880,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Booker,(N/A),"PF,C,Flx",881,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Phil Booth,(N/A),"PG,Flx",882,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Boozer,(N/A),"PF,C,Flx",883,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Chris Bosh,(N/A),"PF,C,Flx",884,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Brown,(N/A),"SF,Flx",885,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Lorenzo Brown,TOR,"PG,Flx",886,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Markel Brown,(N/A),"SG,Flx",887,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Deonte Burton,(N/A),"PG,Flx",888,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jose Calderon,(N/A),"PG,Flx",889,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Perrion Callandret,(N/A),"PG,Flx",890,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Camby,(N/A),"PF,C,Flx",891,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Devin Cannady,(N/A),"PG,Flx",892,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Sampson Carter,(N/A),"PF,Flx",893,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tweety Carter,(N/A),"PG,Flx",894,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Warren Carter,(N/A),"SF,PF,Flx",895,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Casey,(N/A),"PF,Flx",896,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Mario Chalmers,(N/A),"PG,SG,Flx",897,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Joe Chealey,(N/A),"PG,Flx",898,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Rakeem Christmas,(N/A),"PF,Flx",899,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Norris Cole,(N/A),"PG,SG,Flx",900,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jack Cooley,(N/A),"PF,C,Flx",901,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Chris Copeland,(N/A),"SF,PF,Flx",902,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Matt Costello,(N/A),"PF,Flx",903,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Cousin,(N/A),"C,Flx",904,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Crawford,(N/A),"PG,SG,Flx",905,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Will Cummings,(N/A),"PG,Flx",906,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
JamesOn Curry,(N/A),"PG,SG,Flx",907,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Olek Czyz,(N/A),"SF,Flx",908,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Samuel Dalembert,(N/A),"C,Flx",909,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Luigi Datome,(N/A),"SG,SF,Flx",910,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Baron Davis,(N/A),"PG,Flx",911,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Glen Davis,(N/A),"PF,C,Flx",912,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jon Davis,(N/A),"PG,Flx",913,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Aubrey Dawkins,(N/A),"SG,Flx",914,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Shawn Dawson,(N/A),"SF,Flx",915,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Malcolm Delaney,(N/A),"PG,SG,Flx",916,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Dennis,(N/A),"PG,Flx",917,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Derrickson,(N/A),"PF,Flx",918,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Boris Diaw,(N/A),"PF,C,Flx",919,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ike Diogu,(N/A),"PF,C,Flx",920,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
DeSagana Diop,(N/A),"C,Flx",921,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Juan Dixon,(N/A),"PG,SG,Flx",922,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Chris Douglas-Roberts,(N/A),"SG,SF,Flx",923,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Milton Doyle,(N/A),"PG,Flx",924,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Mike Dunleavy,(N/A),"SG,SF,Flx",925,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Shane Edwards,(N/A),"SF,Flx",926,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
John Egbunu,(N/A),"C,Flx",927,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Eglseder,(N/A),"C,Flx",928,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Nnanna Egwu,(N/A),"C,Flx",929,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Moses Ehambe,(N/A),"SG,SF,Flx",930,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Monta Ellis,(N/A),"PG,SG,Flx",931,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Perry Ellis,(N/A),"PF,Flx",932,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Melvin Ely,(N/A),"PF,C,Flx",933,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Andre Emmett,(N/A),"SG,Flx",934,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kim English,(N/A),"PG,SG,Flx",935,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Ennis,(N/A),"PG,Flx",936,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Micheal Eric,(N/A),"PF,C,Flx",937,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Evans,(N/A),"SF,PF,Flx",938,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Evans,(N/A),"SG,SF,Flx",939,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Evans,(N/A),"PF,C,Flx",940,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Ewing Jr.,(N/A),"SF,Flx",941,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Christian Eyenga,(N/A),"SF,Flx",942,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jarrid Famous,(N/A),"PF,C,Flx",943,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Courtney Fells,(N/A),"SG,Flx",944,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Vashil Fernandez,(N/A),"C,Flx",945,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Michael Fey,(N/A),"C,Flx",946,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Fields,(N/A),"SG,Flx",947,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Landry Fields,(N/A),"SG,SF,Flx",948,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Skyler Flatten,(N/A),"SG,Flx",949,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Fogg,(N/A),"PG,SG,Flx",950,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Quincy Ford,(N/A),"SF,Flx",951,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Randy Foye,(N/A),"PG,SG,Flx",952,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
